name	SRX1169949	SRX1169948	SRX1169947	SRX1169946	SRX1169945	SRX1169944	SRX1169943	SRX1169942	SRX1169941	SRX1169940	SRX1169929	SRX1169921	SRX1169920	SRX1169923	SRX1169922	SRX1169925	SRX1169924	SRX1169927	SRX1169926	SRX1169958	SRX1169950	SRX1169951	SRX1169952	SRX1169953	SRX1169954	SRX1169955	SRX1169956	SRX1169957	SRX1169938	SRX1169939	SRX1169919	SRX1169932	SRX1169933	SRX1169930	SRX1169936	SRX1169937	SRX1169935
hsa	99.03	97.04	96.25	96.81	97.66	96.14	95.65	98.35	96.37	96.26	96.23	97.43	97.03	97.66	97.29	96.81	95.99	95.95	93.69	95.15	96.0	97.16	96.71	94.66	94.5	97.54	94.52	96.06	96.59	97.76	96.27	95.83	96.55	96.73	96.43	94.68	97.22	3568.0
hsa_HR	0.74	1.65	2.13	2.03	1.57	1.01	3.05	1.25	2.09	2.88	2.71	1.54	1.97	1.24	1.8	0.59	1.25	1.18	1.33	3.37	2.95	1.37	2.68	4.23	4.63	1.58	4.87	2.3	2.1	1.47	2.0	2.54	2.45	2.38	2.49	1.59	1.93	78.94000000000001
hsa-bacteria_collection	0.06	0.41	0.55	0.38	0.26	0.93	0.32	0.15	0.61	0.33	0.38	0.36	0.36	0.41	0.3	0.65	2.09	2.12	3.71	0.57	0.47	0.69	0.22	0.38	0.28	0.29	0.22	0.62	0.44	0.29	1.12	0.66	0.37	0.34	0.42	1.98	0.3	24.040000000000006
unmapped	0.1061494929128839	0.3049292755534147	0.476793764734308	0.3500921251716279	0.2343638099351235	0.5887275954807419	0.35974909709312214	0.12652258162515445	0.2708134387955858	0.2497689573977849	0.28315138894488007	0.2582357230127323	0.32318318533715057	0.26375315006374056	0.24973001415288423	1.305112725954864	0.13148912136441865	0.16906983020279345	0.09921449115185471	0.37648885548016564	0.2505832693700257	0.25091763462572775	0.20659302030710236	0.430513139336659	0.35643663331386105	0.3234025099189916	0.22370334850072462	0.3800033703181403	0.3946536100542344	0.1810622243412676	0.12349456105739018	0.29254565733919974	0.2858182219500477	0.2212491554712181	0.26618684723345826	0.3121974895301815	0.25430848883554685	11.28100780586901
bacteria_collection	0.05	0.36	0.33	0.22	0.16	0.57	0.25	0.08	0.36	0.17	0.22	0.18	0.22	0.33	0.23	0.51	0.4	0.36	0.54	0.29	0.18	0.32	0.12	0.19	0.15	0.14	0.11	0.32	0.22	0.19	0.25	0.38	0.19	0.18	0.21	0.71	0.17	9.860000000000005
human_virus-hsa	0.0	0.18	0.13	0.11	0.05	0.42	0.3	0.01	0.2	0.04	0.07	0.05	0.04	0.04	0.09	0.08	0.04	0.13	0.38	0.13	0.05	0.13	0.01	0.07	0.01	0.04	0.02	0.12	0.13	0.02	0.15	0.18	0.07	0.07	0.06	0.39	0.05	4.059999999999999
bacteria_collection_HR-hsa_HR	0.0	0.02	0.01	0.0	0.0	0.03	0.0	0.0	0.03	0.01	0.03	0.0	0.01	0.02	0.01	0.02	0.01	0.03	0.19	0.02	0.02	0.04	0.0	0.01	0.0	0.02	0.0	0.01	0.02	0.0	0.01	0.04	0.02	0.01	0.01	0.23	0.01	0.8900000000000002
human_virus-bacteria_collection	0.0	0.01	0.02	0.02	0.01	0.09	0.02	0.01	0.02	0.02	0.02	0.05	0.02	0.01	0.01	0.01	0.03	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.04	0.03	0.02	0.02	0.02	0.01	0.02	0.03	0.02	0.02	0.7100000000000003
human_virus	0.0	0.0	0.01	0.0	0.0	0.01	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.02	0.01	0.0	0.01	0.01	0.01	0.0	0.01	0.0	0.02	0.01	0.0	0.01	0.01	0.01	0.01	0.01	0.02	0.0	0.2800000000000001
	sumhuman_virus-hsa-bacteria_collection	0.01	0.03	0.1	0.06	0.05	0.2	0.05	0.02	0.05	0.05	0.06	0.12	0.03	0.01	0.02	0.02	0.04	0.03	0.03	0.05	0.05	0.02	0.04	0.02	0.05	0.04	0.03	0.13	0.07	0.05	0.05	0.05	0.04	0.04	0.08	0.06	0.04	1.890000000000001
hsa_HR-human_virus_HR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bacteria_collection_HR-hsa_HR-human_virus_HR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bacteria_collection_HR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
