name	SRX732315	SRX732316	SRX732317
un-assigned	27.75564703133503	43.604462143211734	35.068973347336154	106.42908252188292
mature#sense	42.97	24.6	35.57	103.13999999999999
rRNA#sense	4.67	5.38	4.14	14.190000000000001
tRNA#sense	4.8	1.84	3.34	9.98
protein_coding#sense	2.71	3.43	3.28	9.42
lncRNA#sense	2.17	3.05	2.47	7.6899999999999995
antisense_RNA#sense	2.47	2.43	2.74	7.640000000000001
lincRNA#antisense	2.53	2.34	2.22	7.09
lincRNA#sense	1.8	2.07	1.98	5.85
protein_coding#antisense	1.59	2.06	1.92	5.57
lncRNA#antisense	1.26	1.89	1.38	4.529999999999999
Y_RNA #sense	0.81	2.26	0.96	4.029999999999999
antisense_RNA#antisense	0.76	0.91	0.82	2.4899999999999998
retained_intron#sense	0.47	0.6	0.48	1.5499999999999998
processed_transcript#sense	0.41	0.45	0.43	1.29
retained_intron#antisense	0.32	0.46	0.37	1.15
miRNA#sense	0.27	0.21	0.38	0.86
nonsense_mediated_decay#sense	0.2	0.27	0.27	0.74
processed_transcript#antisense	0.2	0.27	0.22	0.6900000000000001
sense_intronic#sense	0.2	0.23	0.23	0.66
nonsense_mediated_decay#antisense	0.18	0.24	0.21	0.63
processed_pseudogene#antisense	0.23	0.2	0.18	0.6100000000000001
snoRNA#sense	0.23	0.14	0.23	0.6
snRNA#sense	0.18	0.14	0.18	0.5
otherRNA#sense	0.14	0.13	0.11	0.38
misc_RNA#sense	0.07	0.07	0.16	0.30000000000000004
processed_pseudogene#sense	0.07	0.1	0.07	0.24000000000000002
sense_overlapping#sense	0.07	0.08	0.08	0.23000000000000004
sense_overlapping#antisense	0.04	0.06	0.06	0.16
piRNA#sense	0.07	0.03	0.05	0.15000000000000002
sense_intronic#antisense	0.04	0.05	0.05	0.14
rRNA#antisense	0.03	0.05	0.03	0.11
Mt_rRNA#sense	0.04	0.03	0.03	0.1
TR_J_gene#sense	0.03	0.04	0.03	0.1
otherRNA#antisense	0.02	0.03	0.02	0.07
unprocessed_pseudogene#sense	0.02	0.03	0.02	0.07
snoRNA#antisense	0.02	0.02	0.02	0.06
macro_lncRNA#sense	0.01	0.02	0.02	0.05
misc_RNA#antisense	0.01	0.02	0.01	0.04
Mt_tRNA#sense	0.02	0.01	0.01	0.04
piRNA#antisense	0.01	0.01	0.01	0.03
unprocessed_pseudogene#antisense	0.01	0.01	0.01	0.03
bidirectional_promoter_lncRNA#sense	0.01	0.01	0.01	0.03
unitary_pseudogene#sense	0.01	0.01	0.01	0.03
transcribed_unprocessed_pseudogene#sense	0.01	0.01	0.01	0.03
miRNA#antisense	0.01	0.01	0.01	0.03
macro_lncRNA#antisense	0.01	0.01	0.01	0.03
hairpin#sense	0.0	0.01	0.01	0.02
scaRNA#sense	0.01	0.0	0.01	0.02
IG_V_gene#antisense	0.0	0.01	0.0	0.01
TEC#antisense	0.0	0.01	0.0	0.01
	sumtRNA#antisense	0.0	0.01	0.0	0.01
IG_C_pseudogene#sense	0.0	0.0	0.0	0.0
IG_V_pseudogene#antisense	0.0	0.0	0.0	0.0
ribozyme#antisense	0.0	0.0	0.0	0.0
Mt_tRNA#antisense	0.0	0.0	0.0	0.0
hairpin#antisense	0.0	0.0	0.0	0.0
transcribed_unitary_pseudogene#sense	0.0	0.0	0.0	0.0
asRNA#sense	0.0	0.0	0.0	0.0
vaultRNA#sense	0.0	0.0	0.0	0.0
TR_V_gene#antisense	0.0	0.0	0.0	0.0
pseudogene#sense	0.0	0.0	0.0	0.0
bidirectional_promoter_lncRNA#antisense	0.0	0.0	0.0	0.0
IG_C_pseudogene#antisense	0.0	0.0	0.0	0.0
guide_RNA #sense	0.0	0.0	0.0	0.0
ribozyme#sense	0.0	0.0	0.0	0.0
transcribed_unitary_pseudogene#antisense	0.0	0.0	0.0	0.0
TEC#sense	0.0	0.0	0.0	0.0
IG_C_gene#sense	0.0	0.0	0.0	0.0
pseudogene#antisense	0.0	0.0	0.0	0.0
microRNA#sense	0.0	0.0	0.0	0.0
non_coding#antisense	0.0	0.0	0.0	0.0
polymorphic_pseudogene#sense	0.0	0.0	0.0	0.0
non_stop_decay#sense	0.0	0.0	0.0	0.0
Mt_rRNA#antisense	0.0	0.0	0.0	0.0
IG_C_gene#antisense	0.0	0.0	0.0	0.0
TR_V_pseudogene#sense	0.0	0.0	0.0	0.0
non_coding#sense	0.0	0.0	0.0	0.0
unitary_pseudogene#antisense	0.0	0.0	0.0	0.0
translated_processed_pseudogene#antisense	0.0	0.0	0.0	0.0
mature#antisense	0.0	0.0	0.0	0.0
IG_D_gene#sense	0.0	0.0	0.0	0.0
TR_V_gene#sense	0.0	0.0	0.0	0.0
3prime_overlapping_ncRNA#antisense	0.0	0.0	0.0	0.0
non_stop_decay#antisense	0.0	0.0	0.0	0.0
translated_processed_pseudogene#sense	0.0	0.0	0.0	0.0
asRNA#antisense	0.0	0.0	0.0	0.0
scaRNA#antisense	0.0	0.0	0.0	0.0
srpRNA#antisense	0.0	0.0	0.0	0.0
transcribed_unprocessed_pseudogene#antisense	0.0	0.0	0.0	0.0
scRNA#sense	0.0	0.0	0.0	0.0
transcribed_processed_pseudogene#sense	0.0	0.0	0.0	0.0
sRNA#sense	0.0	0.0	0.0	0.0
snRNA#antisense	0.0	0.0	0.0	0.0
srpRNA#sense	0.0	0.0	0.0	0.0
transcribed_processed_pseudogene#antisense	0.0	0.0	0.0	0.0
3prime_overlapping_ncRNA#sense	0.0	0.0	0.0	0.0
IG_V_pseudogene#sense	0.0	0.0	0.0	0.0
polymorphic_pseudogene#antisense	0.0	0.0	0.0	0.0
IG_V_gene#sense	0.0	0.0	0.0	0.0
