name	SRX732315	SRX732316	SRX732317
tRNA#antisense	0.0	0.01	0.0
IG_C_pseudogene#sense	0.0	0.0	0.0
processed_transcript#sense	0.41	0.45	0.43
processed_pseudogene#antisense	0.23	0.2	0.18
IG_V_pseudogene#antisense	0.0	0.0	0.0
ribozyme#antisense	0.0	0.0	0.0
Y_RNA #sense	0.81	2.26	0.96
retained_intron#sense	0.47	0.6	0.48
antisense_RNA#sense	2.47	2.43	2.74
Mt_tRNA#antisense	0.0	0.0	0.0
hairpin#antisense	0.0	0.0	0.0
sense_overlapping#sense	0.07	0.08	0.08
lncRNA#antisense	1.26	1.89	1.38
piRNA#antisense	0.01	0.01	0.01
transcribed_unitary_pseudogene#sense	0.0	0.0	0.0
processed_transcript#antisense	0.2	0.27	0.22
asRNA#sense	0.0	0.0	0.0
unprocessed_pseudogene#antisense	0.01	0.01	0.01
vaultRNA#sense	0.0	0.0	0.0
protein_coding#antisense	1.59	2.06	1.92
TR_V_gene#antisense	0.0	0.0	0.0
bidirectional_promoter_lncRNA#sense	0.01	0.01	0.01
unitary_pseudogene#sense	0.01	0.01	0.01
protein_coding#sense	2.71	3.43	3.28
pseudogene#sense	0.0	0.0	0.0
bidirectional_promoter_lncRNA#antisense	0.0	0.0	0.0
rRNA#sense	4.67	5.38	4.14
rRNA#antisense	0.03	0.05	0.03
IG_C_pseudogene#antisense	0.0	0.0	0.0
tRNA#sense	4.8	1.84	3.34
IG_V_gene#antisense	0.0	0.01	0.0
guide_RNA #sense	0.0	0.0	0.0
misc_RNA#antisense	0.01	0.02	0.01
ribozyme#sense	0.0	0.0	0.0
Mt_rRNA#sense	0.04	0.03	0.03
transcribed_unitary_pseudogene#antisense	0.0	0.0	0.0
sense_intronic#sense	0.2	0.23	0.23
TEC#sense	0.0	0.0	0.0
Mt_tRNA#sense	0.02	0.01	0.01
IG_C_gene#sense	0.0	0.0	0.0
pseudogene#antisense	0.0	0.0	0.0
otherRNA#sense	0.14	0.13	0.11
mature#sense	42.97	24.6	35.57
microRNA#sense	0.0	0.0	0.0
otherRNA#antisense	0.02	0.03	0.02
non_coding#antisense	0.0	0.0	0.0
polymorphic_pseudogene#sense	0.0	0.0	0.0
non_stop_decay#sense	0.0	0.0	0.0
processed_pseudogene#sense	0.07	0.1	0.07
Mt_rRNA#antisense	0.0	0.0	0.0
lincRNA#sense	1.8	2.07	1.98
sense_overlapping#antisense	0.04	0.06	0.06
IG_C_gene#antisense	0.0	0.0	0.0
retained_intron#antisense	0.32	0.46	0.37
transcribed_unprocessed_pseudogene#sense	0.01	0.01	0.01
TR_V_pseudogene#sense	0.0	0.0	0.0
hairpin#sense	0.0	0.01	0.01
snRNA#sense	0.18	0.14	0.18
lncRNA#sense	2.17	3.05	2.47
non_coding#sense	0.0	0.0	0.0
antisense_RNA#antisense	0.76	0.91	0.82
macro_lncRNA#sense	0.01	0.02	0.02
miRNA#antisense	0.01	0.01	0.01
unitary_pseudogene#antisense	0.0	0.0	0.0
miRNA#sense	0.27	0.21	0.38
translated_processed_pseudogene#antisense	0.0	0.0	0.0
mature#antisense	0.0	0.0	0.0
snoRNA#sense	0.23	0.14	0.23
IG_D_gene#sense	0.0	0.0	0.0
TR_V_gene#sense	0.0	0.0	0.0
3prime_overlapping_ncRNA#antisense	0.0	0.0	0.0
un-assigned	27.75564703133503	43.604462143211734	35.068973347336154
nonsense_mediated_decay#sense	0.2	0.27	0.27
non_stop_decay#antisense	0.0	0.0	0.0
translated_processed_pseudogene#sense	0.0	0.0	0.0
asRNA#antisense	0.0	0.0	0.0
scaRNA#antisense	0.0	0.0	0.0
piRNA#sense	0.07	0.03	0.05
srpRNA#antisense	0.0	0.0	0.0
transcribed_unprocessed_pseudogene#antisense	0.0	0.0	0.0
scRNA#sense	0.0	0.0	0.0
transcribed_processed_pseudogene#sense	0.0	0.0	0.0
nonsense_mediated_decay#antisense	0.18	0.24	0.21
sRNA#sense	0.0	0.0	0.0
snRNA#antisense	0.0	0.0	0.0
srpRNA#sense	0.0	0.0	0.0
unprocessed_pseudogene#sense	0.02	0.03	0.02
TR_J_gene#sense	0.03	0.04	0.03
macro_lncRNA#antisense	0.01	0.01	0.01
transcribed_processed_pseudogene#antisense	0.0	0.0	0.0
3prime_overlapping_ncRNA#sense	0.0	0.0	0.0
lincRNA#antisense	2.53	2.34	2.22
IG_V_pseudogene#sense	0.0	0.0	0.0
sense_intronic#antisense	0.04	0.05	0.05
misc_RNA#sense	0.07	0.07	0.16
snoRNA#antisense	0.02	0.02	0.02
scaRNA#sense	0.01	0.0	0.01
polymorphic_pseudogene#antisense	0.0	0.0	0.0
TEC#antisense	0.0	0.01	0.0
IG_V_gene#sense	0.0	0.0	0.0
