name	SRX362355	SRX362354	SRX362357	SRX362356	SRX362353	SRX362352	SRX362359	SRX362358	SRX349101	SRX352359	SRX362360	SRX362361	SRX362362
hsa-miR-214-5p	0	0	0	0	0	0	0	0	9	0	3	0	0
hsa-miR-4645-3p	4	12	17	10	2	2	13	29	264	84	7	11	19
hsa-miR-98-5p	120	159	190	142	58	322	78	507	2481	563	91	105	72
hsa-miR-651-5p	0	0	0	0	0	0	0	0	15	4	3	0	0
hsa-miR-6505-5p	0	0	0	0	0	0	0	0	6	0	0	0	0
hsa-miR-6866-5p	0	0	4	0	0	0	2	2	31	3	3	2	0
hsa-miR-656-3p	8	6	16	2	2	5	5	24	153	66	7	8	0
hsa-miR-376a-3p	2	2	2	4	6	3	0	9	109	53	0	5	4
hsa-miR-148a-5p	244	437	229	307	152	153	173	426	3479	575	188	300	227
hsa-miR-618	0	0	3	0	0	0	0	9	22	3	0	0	0
hsa-miR-185-5p	2	2	2	2	2	9	2	19	92	21	5	2	2
hsa-miR-377-5p	29	29	31	19	26	11	58	10	324	33	26	22	18
hsa-miR-30b-3p	0	4	4	0	2	0	4	9	48	11	0	6	2
hsa-miR-1468-5p	87	157	66	103	57	38	82	46	954	42	65	105	76
hsa-miR-610	0	0	0	0	2	0	0	3	10	2	0	0	0
hsa-miR-150-3p	33	81	102	64	62	52	26	275	1296	344	77	100	13
hsa-miR-342-3p	1060	1762	1979	1912	1094	873	481	5045	24044	4170	3140	1556	502
hsa-miR-548a-3p	0	0	0	0	0	0	0	0	8	0	0	0	0
hsa-miR-6820-5p	0	0	0	0	0	0	0	0	5	0	0	0	0
hsa-miR-144-3p	12	23	29	19	9	79	15	74	647	296	23	16	5
hsa-miR-331-5p	4	22	20	7	6	8	7	30	221	36	10	20	2
hsa-miR-4709-3p	0	0	0	2	0	0	0	0	2	0	0	0	0
hsa-miR-6738-5p	0	0	0	0	0	0	0	0	2	0	0	0	0
hsa-miR-6791-5p	0	0	0	0	0	0	0	0	2	0	0	0	0
hsa-miR-26b-5p	1091	1220	2228	1579	492	3061	752	7592	28850	8057	814	1081	587
hsa-miR-889-3p	155	136	118	104	62	186	103	158	1906	556	85	134	61
hsa-miR-5189-5p	61	51	66	25	14	0	18	67	479	47	31	55	0
hsa-miR-412-3p	0	0	0	0	0	0	0	0	3	0	0	0	0
hsa-miR-15a-3p	0	0	0	0	0	0	0	0	2	0	0	0	0
