name	SRX258935	SRX258931	SRX258933	SRX258932	SRX258926	SRX258927	SRX258937	SRX258936	SRX258930	SRX258934	SRX258939	SRX258938	SRX258928	SRX258929
human_virus-hsa-bacteria_collection	0.1	0.06	0.04	0.09	0.05	0.03	0.08	0.12	0.02	0.11	0.09	0.08	0.05	0.06
hsa-bacteria_collection	4.22	3.2	2.21	3.59	1.89	1.83	4.14	5.83	1.57	4.39	4.15	3.87	2.62	2.88
human_virus-bacteria_collection	0.14	0.1	0.06	0.1	0.06	0.05	0.13	0.21	0.04	0.15	0.15	0.14	0.09	0.1
unmapped	9.226528875569109	7.271640819387882	6.415676099274795	8.892731790679491	5.346155405481175	2.6307027051186074	4.962587936460718	4.173425191251565	8.539248884271911	9.078458632272138	4.879694644924679	5.491841557484576	3.5863472614886684	3.6516064661855054
hsa_HR-human_virus_HR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa	77.43	72.72	85.54	80.5	88.85	92.46	85.12	83.36	78.17	77.24	84.99	84.03	89.23	88.76
bacteria_collection	5.29	14.56	3.97	5.18	2.85	2.06	4.14	4.77	8.95	5.33	3.82	4.02	2.61	2.81
human_virus-hsa	0.05	0.05	0.02	0.04	0.02	0.02	0.04	0.07	0.02	0.05	0.05	0.04	0.03	0.03
bacteria_collection_HR-hsa_HR-human_virus_HR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa_HR	3.13	1.75	1.29	1.1	0.66	0.64	0.77	0.74	2.48	3.23	1.54	1.95	1.56	1.45
bacteria_collection_HR-hsa_HR	0.13	0.08	0.05	0.11	0.05	0.04	0.11	0.2	0.03	0.14	0.13	0.13	0.08	0.09
bacteria_collection_HR	0.19	0.15	0.3	0.28	0.17	0.19	0.38	0.32	0.16	0.18	0.12	0.15	0.09	0.1
human_virus	0.1	0.06	0.1	0.12	0.06	0.05	0.12	0.2	0.04	0.1	0.09	0.09	0.06	0.06
