name	SRX258935	SRX258931	SRX258933	SRX258932	SRX258926	SRX258927	SRX258937	SRX258936	SRX258930	SRX258934	SRX258939	SRX258938	SRX258928	SRX258929
hsa-miR-214-5p	4	0	2	0	0	8	3	0	3	5	3	3	7	4
hsa-miR-4645-3p	0	0	0	0	0	0	0	0	0	0	0	0	2	0
hsa-miR-98-5p	219	176	129	83	259	317	62	65	165	170	278	373	695	640
hsa-miR-767-5p	879	1165	1459	1162	2255	2869	1885	1209	1240	755	1151	1507	1596	1581
hsa-miR-6133	2	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6132	0	0	0	0	2	0	0	0	0	0	2	0	0	0
hsa-miR-651-5p	3	0	0	0	0	0	0	0	0	0	3	0	14	12
hsa-miR-6866-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	6
hsa-miR-6131	31	0	0	0	2	2	0	0	0	34	31	26	24	27
hsa-miR-6130	0	0	0	0	0	0	0	0	0	0	1	2	2	2
hsa-miR-656-3p	2452	482	5279	5381	5574	8617	10530	7276	473	2148	3776	4785	6214	5307
hsa-miR-376a-3p	33	7	6	17	54	85	104	61	9	18	79	121	133	133
hsa-miR-148a-5p	69	47	24	31	87	77	27	32	56	53	94	131	128	146
hsa-miR-618	0	0	0	0	0	3	0	0	0	0	0	0	0	2
hsa-miR-185-5p	1800	37	4918	3068	12625	11545	6963	3591	32	1565	2667	3529	4726	4751
hsa-miR-377-5p	95	92	405	598	835	1135	466	367	85	71	80	130	141	137
hsa-miR-30b-3p	2	0	0	0	0	0	0	0	0	2	6	10	9	12
hsa-miR-1468-5p	2	5	0	0	0	2	0	0	15	0	5	6	6	4
hsa-miR-4639-3p	0	0	0	0	0	2	0	0	0	0	0	0	0	0
hsa-miR-150-3p	2	19	0	0	0	13	0	0	25	0	3	2	12	2
hsa-miR-342-3p	166	375	346	357	682	839	403	315	405	116	216	301	393	367
hsa-miR-7-5p	690	0	67	61	186	201	62	32	0	687	609	1082	1938	1980
hsa-miR-548a-3p	0	0	0	0	0	2	0	0	0	0	0	0	2	0
hsa-miR-6820-5p	0	0	0	0	2	0	0	0	0	0	0	0	0	0
hsa-miR-6125	2	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4752	0	0	0	2	0	0	0	0	0	0	0	0	0	0
hsa-miR-138-2-3p	61	38	22	16	63	52	38	19	36	66	61	77	86	85
hsa-miR-144-3p	113	79	346	693	1882	2817	666	649	64	93	137	124	306	286
hsa-miR-331-5p	107	93	182	155	166	270	186	132	47	64	55	98	107	75
hsa-miR-26b-5p	256	196	98	96	352	511	189	123	154	193	308	462	798	724
hsa-miR-889-3p	2916	4977	287	239	564	964	608	349	4562	2616	4286	5969	8087	7593
hsa-miR-5189-5p	0	0	0	5	0	2	0	0	17	0	0	0	2	2
hsa-miR-15a-3p	0	0	5	3	16	6	8	13	0	0	0	0	0	0
hsa-miR-34c-3p	42	22	124	63	151	168	142	64	34	37	22	49	31	45
hsa-miR-3120-3p	2	0	0	0	0	3	0	0	2	0	4	4	11	17
hsa-miR-181c-5p	123	2518	415	431	1218	1411	607	335	2242	115	142	173	292	312
hsa-miR-3661	0	7	3	0	0	0	0	0	4	0	3	0	2	5
hsa-miR-1224-5p	14767	3747	4598	3252	5110	5743	1337	771	3557	12999	11676	15638	14417	16830
hsa-miR-191-3p	589	695	109	177	192	321	95	103	612	472	752	867	835	959
hsa-miR-1229-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	2
hsa-miR-383-3p	2	6	6	8	17	27	19	11	13	2	0	0	0	2
hsa-miR-214-3p	9	12	50	27	58	78	67	27	0	14	17	23	18	16
hsa-miR-93-5p	177	236	119	75	395	465	180	114	241	163	249	446	632	563
hsa-miR-767-3p	0	0	0	7	4	9	0	0	0	2	0	0	0	0
hsa-miR-98-3p	32	109	195	184	446	560	193	175	106	23	43	59	77	86
hsa-miR-33b-5p	0	7	0	0	4	2	0	0	0	0	0	0	0	0
hsa-miR-148a-3p	27619	5990	293	201	604	741	389	314	6395	24007	32621	44873	51807	57912
hsa-miR-127-5p	698	55	94	105	223	245	181	93	73	618	689	940	1258	1126
hsa-miR-1271-5p	0	0	0	0	3	0	0	0	24	0	0	0	0	2
hsa-miR-185-3p	195	26	37	58	100	143	73	46	34	184	219	285	384	339
hsa-miR-377-3p	174	57	341	203	1614	1722	632	679	42	144	226	318	435	420
hsa-let-7a-2-3p	8	4	6	5	3	8	5	3	0	2	7	21	20	18
hsa-miR-3085-3p	30	22	93	89	55	76	89	48	28	30	26	54	32	25
hsa-miR-19b-3p	279	185	610	316	2344	2188	1199	717	265	211	276	497	719	683
hsa-miR-1260b	7	34	6	17	79	72	37	18	32	2	8	3	25	37
hsa-miR-1260a	0	15	6	0	22	26	16	8	2	0	1	0	5	9
hsa-miR-3074-5p	128	30	83	36	88	66	43	19	38	104	200	195	228	221
hsa-miR-18a-5p	3	4	0	0	8	18	0	0	0	2	0	0	5	0
hsa-miR-331-3p	30	0	19	29	53	101	46	24	8	26	11	28	32	53
hsa-miR-499a-5p	177	0	19	16	29	21	7	3	0	129	182	226	294	313
hsa-miR-26b-3p	17	47	102	139	207	268	59	39	47	9	21	25	38	49
hsa-miR-4291	0	0	0	0	0	0	0	2	0	0	0	0	0	0
hsa-miR-941	8	49	0	0	12	6	0	0	42	7	2	5	21	24
hsa-miR-940	0	0	0	0	0	2	0	0	0	0	0	0	0	0
hsa-miR-628-5p	27	16	0	0	7	12	2	2	14	16	25	31	57	55
hsa-miR-494-3p	0	0	0	3	11	14	0	0	0	0	0	0	0	2
hsa-miR-181c-3p	214	506	867	1479	1429	2202	752	608	503	158	190	332	649	531
hsa-miR-1224-3p	0	3	0	0	0	3	10	0	0	0	4	8	6	7
hsa-miR-873-5p	379	330	148	306	279	485	232	192	414	337	476	581	632	598
hsa-miR-570-3p	0	0	0	0	2	0	0	0	0	0	0	0	0	0
hsa-miR-93-3p	6	0	65	46	125	118	56	33	16	2	5	11	10	9
hsa-let-7c-5p	5638	1495	2025	1453	3773	4306	907	495	1487	5072	6538	9447	17488	16735
hsa-miR-483-5p	31	0	5	0	11	17	3	0	0	29	14	20	46	53
hsa-miR-122-5p	6740	24	683	415	882	797	38	23	8	5898	1943	2515	4040	4842
hsa-miR-127-3p	27811	69049	60746	42535	49857	52049	19479	11164	61806	24346	27368	37958	38346	39472
hsa-miR-323b-3p	57	19	30	15	34	41	20	25	27	49	56	63	195	162
hsa-miR-6529-5p	25146	26553	7087	6242	6469	6793	3067	1852	23108	21976	21601	26835	19812	22734
hsa-miR-372-3p	0	0	0	0	0	0	0	0	0	0	0	2	0	0
hsa-miR-4286	0	0	4	2	20	26	4	6	0	0	0	0	0	0
hsa-miR-935	63	22	63	90	122	210	207	134	40	56	83	107	92	127
hsa-miR-933	0	0	0	0	0	0	0	0	0	0	0	0	2	0
hsa-miR-450b-5p	229	235	220	158	220	306	259	132	291	234	253	434	516	405
hsa-miR-200b-5p	9	0	3	0	9	10	8	0	0	11	15	23	15	17
hsa-miR-130a-3p	412	3169	2560	2007	6490	7170	3578	2364	3087	309	375	503	447	511
hsa-miR-496	17	8	69	68	113	196	79	57	24	9	15	21	36	24
hsa-miR-361-5p	891	1314	20743	32124	20023	33446	13607	12625	1402	684	787	1043	1332	1155
hsa-miR-3199	0	4	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3198	0	0	0	0	0	0	0	0	0	0	0	0	0	2
hsa-miR-3196	0	0	0	0	0	0	0	0	0	0	0	0	0	2
hsa-miR-3195	0	0	0	0	0	0	0	0	0	0	0	0	0	2
hsa-miR-3074-3p	2	2	0	4	10	6	14	11	2	0	0	0	0	0
hsa-miR-18a-3p	0	0	2	0	5	7	0	2	0	2	3	0	4	9
hsv2-miR-H10	18	3	0	4	0	0	2	2	0	26	27	33	23	31
hsa-miR-1912-5p	3	0	0	0	0	4	2	0	0	0	5	5	4	3
hsa-miR-499a-3p	0	0	0	0	0	2	0	0	0	0	0	0	0	0
hsa-miR-5010-5p	0	3	0	0	0	2	0	0	4	0	0	0	0	0
Hsa-Mir-3059_5p	0	0	1	0	3	1	2	2	3	0	3	2	4	2
hsa-miR-3913-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	2
hsa-miR-365b-5p	0	0	0	4	0	0	0	0	0	4	0	3	2	0
hsa-miR-431-5p	21	185	17	43	47	73	37	22	169	22	28	25	23	35
hsa-miR-628-3p	222	75	360	179	552	695	492	259	82	210	267	372	517	576
hsa-miR-873-3p	838	6175	3003	1451	1865	1543	883	509	5714	757	607	842	704	782
hsa-miR-484	2920	1882	13247	11593	10655	15198	11382	6452	1992	2299	3504	4463	4791	4225
hsa-miR-99a-5p	525812	32068	1002918	700697	650615	686210	341603	257704	34441	440411	481573	581363	499805	528209
hsa-miR-3188	0	0	0	0	0	0	0	0	0	0	0	0	2	0
hsa-let-7c-3p	53	6	11	31	22	43	21	16	6	47	96	126	114	121
hsa-miR-425-5p	644	696	1054	586	2501	2275	1095	784	716	519	593	635	859	878
hsa-miR-3182	0	0	0	0	0	0	0	0	0	2	0	0	4	2
hsa-miR-670-5p	0	0	0	0	0	0	0	2	0	0	0	0	0	0
hsa-miR-122-3p	0	0	2	0	0	0	0	0	0	0	0	0	0	2
hsa-miR-3180	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-501-5p	0	0	129	70	123	129	67	28	0	10	6	7	9	5
hsa-miR-6529-3p	619	26	24	13	31	21	16	0	44	557	1058	1319	1221	1338
hsa-miR-4260	0	0	0	0	0	0	0	0	3	0	0	0	0	0
hsa-miR-200b-3p	58	0	46	18	15	21	4	0	0	41	26	34	59	70
hsa-miR-3615	34	20	7	7	48	78	8	2	14	32	22	37	175	167
hsa-miR-450a-2-3p	0	0	0	3	4	5	7	4	0	2	0	3	9	4
hsa-miR-361-3p	838	55	29	28	51	71	17	10	59	666	776	1081	1234	1302
hsa-miR-3178	0	0	0	2	0	0	0	0	0	0	0	0	0	0
hsa-miR-29b-3p	119	32	984	857	2410	2868	2354	1749	41	117	197	252	298	277
hsa-miR-3176	0	0	0	0	0	0	0	0	4	0	0	0	0	0
hsa-miR-3175	2	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1912-3p	6	6	197	126	387	304	123	73	14	7	5	7	6	8
hsa-miR-125b-1-3p	5627	4531	2112	1757	1126	1353	542	333	4535	4670	4066	5237	4022	4284
hsa-miR-105-5p	2285	59	85	33	216	206	103	62	79	1768	1812	2197	2529	2754
hsa-miR-376c-5p	0	0	0	0	0	2	0	0	0	0	0	0	0	1
hsa-miR-542-5p	0	0	0	0	0	0	2	5	0	0	0	0	0	0
hsa-miR-365b-3p	30	9	96	45	226	256	167	89	28	24	40	65	51	47
hsa-miR-431-3p	111	171	113	99	141	175	118	61	152	104	91	104	123	83
hsa-miR-30d-5p	40755	20735	20442	16485	28088	35210	15179	8165	20145	35555	32168	44046	70848	70816
hsa-miR-551b-5p	18	0	4	2	18	36	3	2	2	13	9	20	30	26
hsa-miR-29b-2-5p	9	0	6	2	8	14	6	11	0	3	0	0	2	12
hsa-miR-5696	0	2	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-301b-5p	0	0	0	0	0	3	0	3	0	0	0	0	0	0
hsa-miR-30c-2-3p	21	18	12	2	6	9	2	2	43	12	24	36	40	37
hsa-miR-107	509	1636	319	534	843	1250	1091	829	1192	409	515	647	884	774
hsa-miR-152-5p	0	4	0	0	0	0	0	0	0	0	5	0	0	4
hsa-miR-99a-3p	20	38	35	41	99	148	81	72	31	8	21	29	58	49
hsa-miR-3168	110	0	0	75	321	17	37	36	8	56	241	195	93	75
hsa-miR-6511a-5p	0	0	0	0	0	2	0	0	0	0	0	0	2	0
hsa-miR-425-3p	375	54	1953	3293	2217	3745	1515	1397	100	305	335	454	476	468
hsa-miR-4662a-5p	0	0	0	3	3	3	0	0	4	0	0	0	3	0
hsa-miR-3161	0	0	4	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-670-3p	0	6	6	0	0	16	6	0	36	0	4	6	5	5
hsa-miR-501-3p	1036	3182	4712	6039	2994	3891	2699	2128	3583	1022	1096	1502	1536	1420
hsa-miR-24-3p	28480	6154	11481	17815	26674	36382	17398	11571	5677	23889	30009	36285	35370	39569
hsa-miR-133a-3p	381	128	275	338	417	671	291	208	110	340	262	322	441	422
hsa-miR-338-5p	5	0	0	2	21	15	2	2	4	3	3	6	64	66
hsa-miR-222-5p	0	0	0	4	0	0	0	0	4	0	0	2	0	2
hsa-miR-190b-5p	41	0	19	15	44	27	19	10	9	41	57	57	132	113
hsa-miR-5683	0	0	0	0	0	0	0	0	0	0	2	0	0	0
hsa-miR-3180-3p	3	0	0	0	0	0	0	0	0	3	0	0	2	0
hsa-miR-1307-5p	102	315	65	96	101	167	92	106	250	83	93	151	186	173
hsa-miR-769-5p	0	4	3	4	24	30	0	0	5	0	2	0	18	24
hsa-miR-100-5p	63500	51915	203695	38790	106740	48240	24559	16024	57523	57245	58949	84701	82224	83186
hsa-miR-653-5p	0	0	0	0	0	0	5	0	0	0	0	0	0	0
hsa-miR-105-3p	94	3	10	12	15	36	4	2	9	66	94	151	168	202
hsa-miR-376c-3p	0	0	0	0	5	6	0	0	9	0	0	0	4	5
hsa-miR-542-3p	109	2	7	4	26	38	20	7	5	108	71	105	201	211
hsa-miR-187-5p	69	31	100	88	52	52	25	12	24	39	39	55	42	50
hsa-miR-379-5p	2832	11	87	39	166	110	34	28	9	2646	3211	4758	5023	5601
