name	SRX395539	SRX395538	SRX395537	SRX395536	SRX395535	SRX395548	SRX395542	SRX395543	SRX395540	SRX395541	SRX395546	SRX395547	SRX395544	SRX395545
tRNA#antisense	0.1	0.06	0.06	0.03	0.03	0.11	0.01	0.01	0.12	0.1	0.11	0.14	0.03	0.05
processed_transcript#sense	0.55	0.59	0.5	0.61	0.54	0.54	0.33	0.31	0.6	0.56	0.57	0.52	0.28	0.52
processed_pseudogene#antisense	0.84	0.89	0.85	1.57	1.46	0.83	1.22	1.35	0.48	0.87	0.85	0.5	0.76	0.86
IG_V_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ribozyme#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Y_RNA #sense	0.82	0.57	0.7	0.24	0.27	0.46	0.28	0.23	0.78	0.48	0.73	0.73	0.81	0.55
TR_C_gene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
retained_intron#sense	0.54	0.6	0.51	0.54	0.47	0.55	0.28	0.28	0.62	0.53	0.56	0.61	0.29	0.53
antisense_RNA#sense	9.0	8.89	8.13	5.57	5.1	7.87	4.21	4.41	13.82	7.62	9.25	14.58	7.96	8.42
Mt_tRNA#antisense	0.01	0.0	0.01	0.0	0.0	0.01	0.0	0.0	0.01	0.01	0.01	0.01	0.0	0.0
hairpin#antisense	0.15	0.11	0.09	0.04	0.04	0.24	0.02	0.02	0.2	0.2	0.22	0.27	0.06	0.11
sense_overlapping#sense	0.09	0.08	0.08	0.09	0.07	0.09	0.03	0.03	0.08	0.1	0.09	0.08	0.03	0.07
piRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
lncRNA#antisense	0.99	0.94	0.87	0.73	0.64	0.85	0.18	0.18	1.01	0.99	0.93	0.72	0.25	0.7
transcribed_unitary_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
processed_transcript#antisense	0.62	0.71	0.61	0.67	0.6	0.7	0.31	0.32	0.65	0.76	0.67	0.68	0.34	0.7
asRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TR_J_gene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
unprocessed_pseudogene#antisense	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01
vaultRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
protein_coding#antisense	1.72	1.75	1.68	2.11	1.95	1.73	1.4	1.44	1.34	1.79	1.76	1.27	1.16	1.69
TR_V_gene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
