name	SRX3292449	SRX3292448	SRX3292447	SRX3292446	SRX3292445	SRX3292444	SRX3292443	SRX3292442	SRX3292441	SRX3292440	SRX3292429	SRX3292428	SRX3292416	SRX3292415	SRX3292421	SRX3292420	SRX3292423	SRX3292422	SRX3292425	SRX3292424	SRX3292427	SRX3292426	SRX3292417	SRX3292435	SRX3292450	SRX3292451	SRX3292452	SRX3292453	SRX3292454	SRX3292438	SRX3292439	SRX3292418	SRX3292419	SRX3292432	SRX3292433	SRX3292430	SRX3292431	SRX3292436	SRX3292437	SRX3292434	SRX3292413	SRX3292414
hsa-miR-4765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-214-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4645-3p	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0
hsa-miR-98-5p	4	0	0	0	0	2	12	0	0	0	31	25	6	68	10	68	53	17	60	177	15	20	178	32	0	6	3	0	3	71	0	14	16	9	18	15	14	21	0	47	33	0
hsa-miR-651-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	2	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6866-5p	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	5	2	2	0	0	0	0	0	0	0	0	7	0	0	2	0	4	0	0	0	0	0	0	0
hsa-miR-6130	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0
hsa-miR-656-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
hsa-miR-376a-3p	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6750-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
hsa-miR-148a-5p	0	0	0	2	2	2	0	0	0	0	0	3	0	0	2	51	30	8	36	74	3	4	39	5	7	0	0	0	0	11	0	7	2	44	2	6	5	0	0	0	6	0
hsa-miR-618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-185-5p	114	60	199	40	309	93	1477	19	38	56	142	25	7	102	106	708	1085	535	334	927	404	207	898	64	317	348	8	27	14	5668	38	412	271	876	239	577	458	16	444	22	846	6
hsa-miR-377-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-30b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1468-5p	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	5	2	0	0	3	0	0	7	0	0	2	0	0	0	6	0	4	0	2	0	2	0	0	5	6	0	0
hsa-miR-610	0	0	0	3	0	0	0	2	0	0	0	2	0	0	0	2	0	0	0	0	0	2	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-150-3p	4	0	3	0	10	0	21	0	0	0	3	0	0	2	0	2	15	2	0	5	0	0	23	0	12	8	0	6	0	12	0	7	3	10	0	6	0	0	2	2	4	0
hsa-miR-342-3p	0	0	0	0	3	0	10	0	0	0	0	0	0	0	2	27	41	0	42	70	3	0	119	0	14	0	0	0	0	5	0	0	0	22	5	0	9	0	0	0	0	0
hsa-miR-7-5p	19	2	4	0	9	2	95	0	13	3	18	11	5	75	19	125	103	41	43	163	52	25	134	10	12	12	0	7	2	354	7	44	22	36	23	16	14	0	34	30	70	0
hsa-miR-548a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
hsa-miR-4797-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
