name	SRX2205015	SRX2204999	SRX2205014	SRX2205006	SRX2205007	SRX2205004	SRX2205005	SRX2205011	SRX2205010	SRX2205013	SRX2205012	SRX2205008	SRX2205009
un-assigned	47.95354905710084	27.544404925405225	38.78167498731449	60.1772618493737	61.724313504547474	29.356482274362047	39.85855819389775	44.83859457785498	25.703560410423684	41.67512989633299	56.44818290340177	46.14610920362049	29.662803632491418	549.8706254161269
antisense_RNA#sense	10.66	6.27	24.13	6.17	10.14	11.6	15.2	4.57	1.37	11.72	6.36	15.62	2.08	125.89000000000001
rRNA#sense	12.89	18.68	9.5	4.44	4.64	10.79	14.51	0.32	1.22	18.15	0.16	6.38	1.6	103.27999999999997
mature#sense	0.73	1.17	1.48	1.89	0.96	4.31	2.06	0.04	42.13	1.41	0.01	2.07	34.01	92.27
lincRNA#antisense	12.72	9.79	6.97	5.37	5.27	6.72	7.86	1.04	3.66	8.3	1.18	12.7	5.23	86.81
lincRNA#sense	0.54	5.61	1.6	5.79	3.0	7.52	2.0	14.6	6.45	1.97	6.34	1.5	9.55	66.47
Y_RNA #sense	4.21	6.1	5.44	1.03	1.43	0.9	3.28	0.04	10.87	1.13	0.01	5.33	6.47	46.239999999999995
protein_coding#sense	2.01	3.61	2.27	2.51	2.52	5.02	3.01	4.77	1.3	2.87	5.39	1.92	1.63	38.83
lncRNA#sense	0.55	3.4	0.75	1.28	1.01	4.07	0.77	2.25	1.91	0.73	2.83	0.41	2.63	22.589999999999996
protein_coding#antisense	0.78	2.18	1.33	2.33	1.87	2.26	1.57	2.48	0.72	1.72	2.94	0.93	1.07	22.180000000000003
antisense_RNA#antisense	0.31	4.13	1.12	2.57	1.61	3.84	1.12	2.66	0.46	1.22	1.21	0.65	0.68	21.58
processed_transcript#sense	0.74	1.47	0.68	0.69	0.54	1.55	2.39	1.3	0.23	2.95	0.6	0.27	0.39	13.800000000000002
lncRNA#antisense	0.59	1.09	0.55	1.2	0.82	2.27	0.36	1.66	0.8	0.3	2.25	0.24	1.07	13.200000000000003
Mt_rRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.85	0.09	0.0	3.97	0.0	0.12	12.03
retained_intron#sense	0.41	1.5	0.48	0.75	0.65	1.32	0.54	1.94	0.34	0.7	1.83	0.82	0.4	11.68
tRNA#sense	1.22	0.54	0.71	0.16	0.23	0.42	0.7	2.78	0.07	0.43	1.39	0.16	0.07	8.88
snRNA#sense	0.35	0.45	0.76	0.49	0.36	0.62	0.34	0.04	0.06	0.37	0.02	2.51	0.06	6.429999999999999
processed_transcript#antisense	0.12	0.52	0.16	0.26	0.22	0.55	0.23	0.94	0.08	0.26	2.1	0.07	0.12	5.63
otherRNA#sense	0.2	1.16	0.28	0.17	0.14	0.52	0.64	0.06	0.05	0.87	0.03	0.25	0.06	4.43
miRNA#sense	0.14	0.3	0.25	0.2	0.18	0.91	0.2	0.49	0.19	0.19	0.53	0.31	0.18	4.07
retained_intron#antisense	0.19	0.41	0.25	0.31	0.28	0.53	0.47	0.26	0.14	0.59	0.27	0.17	0.19	4.0600000000000005
processed_pseudogene#sense	0.06	0.18	0.12	0.08	0.05	0.17	0.1	1.48	0.1	0.12	0.99	0.22	0.15	3.8200000000000003
processed_pseudogene#antisense	0.74	0.2	0.25	0.09	0.17	0.36	0.53	0.08	0.17	0.5	0.1	0.1	0.21	3.5
misc_RNA#sense	0.32	0.62	0.31	0.07	0.13	0.58	0.28	0.11	0.35	0.11	0.05	0.25	0.25	3.43
nonsense_mediated_decay#sense	0.21	0.45	0.26	0.2	0.23	0.4	0.28	0.39	0.09	0.26	0.32	0.2	0.13	3.4200000000000004
Mt_rRNA#sense	0.52	0.13	0.57	0.03	0.05	0.08	0.46	0.06	0.49	0.08	0.03	0.1	0.77	3.37
otherRNA#antisense	0.0	0.1	0.01	0.85	0.99	0.02	0.01	0.11	0.05	0.0	0.24	0.03	0.08	2.4899999999999998
sense_intronic#antisense	0.02	0.39	0.06	0.16	0.07	1.43	0.05	0.06	0.03	0.03	0.06	0.02	0.04	2.4199999999999995
rRNA#antisense	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.72	0.29	0.0	0.86	0.0	0.36	2.28
sense_intronic#sense	0.03	0.23	0.05	0.11	0.08	0.48	0.06	0.6	0.08	0.05	0.28	0.03	0.12	2.2
Mt_tRNA#sense	0.3	0.57	0.34	0.01	0.04	0.03	0.18	0.25	0.01	0.04	0.06	0.01	0.01	1.85
unprocessed_pseudogene#antisense	0.1	0.24	0.07	0.1	0.06	0.07	0.28	0.05	0.01	0.29	0.08	0.2	0.01	1.5600000000000003
